identifier,title,date,creator,venue,url
ajc01544_trocar_2001-10-22,Trocar Live at Fireside Bowl 2001-10-22,10/22/01,Trocar,Fireside Bowl 2001-10-22,https://archive.org/details/ajc01544_trocar_2001-10-22
ajc01545_small_brown_bike_2001-10-22,Small Brown Bike Live at Fireside Bowl 2001-10-22,10/22/01,Small Brown Bike,Fireside Bowl 2001-10-22,https://archive.org/details/ajc01545_small_brown_bike_2001-10-22
ajc01546_scrabble_2002-06-23,Scrabble LIve at Empty Bottle 2002-06-23,6/23/02,Scrabble,Empty Bottle 2002-06-23,https://archive.org/details/ajc01546_scrabble_2002-06-23
ajc01547_love_letter_band_2002-06-23,The Love Letter Band Live at Empty Bottle 2002-06-23,6/23/02,The Love Letter Band,Empty Bottle 2002-06-23,https://archive.org/details/ajc01547_love_letter_band_2002-06-23
ajc01548_bright_lights_2002-06-23,The Bright Lights Live at Empty Bottle 2002-06-23,6/23/02,The Bright Lights,Empty Bottle 2002-06-23,https://archive.org/details/ajc01548_bright_lights_2002-06-23
ajc01549_wkeys2002-06-23.ajcproject,Western Keys Live at Empty Bottle on 2002-06-23,6/23/02,Western Keys,Empty Bottle,https://archive.org/details/ajc01549_wkeys2002-06-23.ajcproject
ajc0154_charlieschmidt2015-05-15,Charlie Schmidt Live at The Hideout 2015-05-15,5/15/15,Charlie Schmidt,The Hideout 2015-05-15,https://archive.org/details/ajc0154_charlieschmidt2015-05-15
ajc01550_Negligents_2006-01-14,Negligents Live at Metro 2006-01-14,1/14/06,Negligents,Metro 2006-01-14,https://archive.org/details/ajc01550_Negligents_2006-01-14
ajc01551_thereturnables2006-01-14,The Returnables Live at Metro 2006-01-14,1/14/06,The Returnables,Metro 2006-01-14,https://archive.org/details/ajc01551_thereturnables2006-01-14
ajc01552_anniehiggins2004-12-30,Annie Higgins Live at Beat Kitchen 2004-12-30,12/30/04,Annie Higgins,Beat Kitchen 2004-12-30,https://archive.org/details/ajc01552_anniehiggins2004-12-30
ajc01553_ericziegenhagen2004-12-30,Eric Ziegenhagen Live at Beat Kitchen 2004-12-30,12/30/04,Eric Ziegenhagen,Beat Kitchen 2004-12-30,https://archive.org/details/ajc01553_ericziegenhagen2004-12-30
ajc01554_brandon_durham_2004-12-30,Brandon Durham Live at Beat Kitchen 2004-12-30,12/30/04,Brandon Durham,Beat Kitchen 2004-12-30,https://archive.org/details/ajc01554_brandon_durham_2004-12-30
ajc01555_bread-and-bottle-2009-04-04,Bread And Bottle Live at Abbey Pub 2009-04-04,4/4/09,Bread And Bottle,Abbey Pub,https://archive.org/details/ajc01555_bread-and-bottle-2009-04-04
ajc01556_sass-dragons-2009-04-04,Sass Dragons Live at Abbey Pub 2009-04-04,4/4/09,Sass Dragons,Abbey Pub,https://archive.org/details/ajc01556_sass-dragons-2009-04-04
ajc01557_perfectteeth2002-04-04,Perfect Teeth Live at Hideout 2002-04-04,4/4/02,Perfect Teeth,Hideout 2002-04-04,https://archive.org/details/ajc01557_perfectteeth2002-04-04
